Region,Year,data_min,data_max,q_min,q_max,n_total,n_plotted
global,1901,-0.45500000000000007,1.6700000000000017,-0.45500000000000007,1.6700000000000017,3,3
global,1902,-2.5450000000000017,-0.16999999999999993,-2.5450000000000017,-0.16999999999999993,3,3
global,1903,0.20000000000000018,2.0900000000000016,0.20000000000000018,2.0900000000000016,3,3
global,1904,0.5449999999999999,3.0700000000000003,0.5449999999999999,3.0700000000000003,4,4
global,1905,-7.744969999999995,0.07500000000000018,-7.744969999999995,0.07500000000000018,7,7
global,1906,-33.092130000000004,9.153139999999997,-33.092130000000004,9.153139999999997,246,246
global,1907,-9.505189999999999,7.744970000000002,-9.505189999999999,7.744970000000002,346,346
global,1908,-23.2349,9.153144000000001,-23.2349,9.153144000000001,483,483
global,1909,-13.731240000000003,18.656812,-13.731240000000003,18.656812,478,478
global,1910,-15.66672,8.589265999999999,-15.66672,8.589265999999999,372,372
global,1911,-17.25016,12.673584,-17.25016,12.673584,470,470
global,1912,-14.78585,16.89811,-14.78585,16.89811,523,523
global,1913,-15.8435,16.194020000000002,-15.8435,16.194020000000002,420,420
global,1914,-76.19999999999999,13.929358,-76.19999999999999,13.929358,325,325
global,1915,-60.959999999999994,13.731243999999998,-60.959999999999994,13.731243999999998,219,219
global,1916,-97.53600000000002,11.265412000000001,-97.53600000000002,11.265412000000001,177,177
global,1917,-82.29599999999999,12.191980000000001,-82.29599999999999,12.191980000000001,131,131
global,1918,-6.4008,23.4696,-6.4008,23.4696,90,90
global,1919,-4.83108,9.15314,-4.83108,9.15314,67,67
global,1920,-7.13232,6.52272,-7.13232,6.52272,46,46
global,1921,-6.530000000000001,6.4008,-6.530000000000001,6.4008,62,62
global,1922,-2.129999999999999,3.383279999999999,-2.129999999999999,3.383279999999999,60,60
global,1923,-8.534399999999998,6.065519999999999,-8.534399999999998,6.065519999999999,48,48
global,1924,-4.437887999999999,4.3149999999999995,-4.437887999999999,4.3149999999999995,62,62
global,1925,-3.41376,3.5052000000000003,-3.41376,3.5052000000000003,83,83
global,1926,-3.7338000000000005,4.358639999999999,-3.7338000000000005,4.358639999999999,123,123
global,1927,-9.204959999999998,18.013679999999997,-9.204959999999998,18.013679999999997,165,165
global,1928,-76.19999999999993,4.267199999999999,-76.19999999999993,4.267199999999999,147,147
global,1929,-6.659880000000001,6.797040000000001,-6.659880000000001,6.797040000000001,234,234
global,1930,-8.139684,8.055860000000003,-8.139684,8.055860000000003,417,417
global,1931,-5.696719999999999,15.23238,-5.696719999999999,15.23238,693,693
global,1932,-9.153150000000002,20.314920000000004,-9.153150000000002,20.314920000000004,856,856
global,1933,-5.733288,19.690080000000002,-5.733288,19.690080000000002,814,814
global,1934,-13.68552,6.120380000000001,-13.68552,6.120380000000001,851,851
global,1935,-10.27176,14.46886,-10.27176,14.46886,1092,1092
global,1936,-16.977359999999997,10.634469999999993,-16.977359999999997,10.634469999999993,1521,1521
global,1937,-15.148560000000003,15.182089999999999,-15.148560000000003,15.182089999999999,2144,2144
global,1938,-21.87854,41.910000000000004,-21.87854,41.910000000000004,3021,3021
global,1939,-9.488429999999994,10.11936,-9.488429999999994,10.11936,3770,3770
global,1940,-23.195279999999997,7.985759999999999,-23.195279999999997,7.985759999999999,4345,4345
global,1941,-15.58138,28.326590000000003,-15.58138,28.326590000000003,4669,4669
global,1942,-17.026129999999995,27.370999999999995,-17.026129999999995,27.370999999999995,4653,4653
global,1943,-26.822400000000002,14.417039999999997,-26.822400000000002,14.417039999999997,4524,4524
global,1944,-22.86,18.048740000000002,-22.86,18.048740000000002,4637,4637
global,1945,-9.659120000000001,25.145999999999994,-9.659120000000001,25.145999999999994,4678,4678
global,1946,-30.05328,19.912588,-30.05328,19.912588,4692,4692
global,1947,-21.97303,18.22704,-21.97303,18.22704,5672,5672
global,1948,-32.9946,17.678399999999996,-32.9946,17.678399999999996,6694,6694
global,1949,-29.565599999999996,21.21408,-29.565599999999996,21.21408,7661,7661
global,1950,-23.094700000000003,59.43599999999999,-23.094700000000003,59.43599999999999,8997,8997
global,1951,-33.528,36.09442,-33.528,36.09442,9503,9503
global,1952,-31.083499999999994,33.13175999999999,-31.083499999999994,33.13175999999999,9794,9794
global,1953,-24.384,21.9456,-24.384,21.9456,10348,10348
global,1954,-38.10000000000001,22.789900000000003,-38.10000000000001,22.789900000000003,10988,10988
global,1955,-42.702476000000004,26.822400000000002,-42.702476000000004,26.822400000000002,11712,11712
global,1956,-29.76067,21.9456,-29.76067,21.9456,12131,12131
global,1957,-39.319199999999995,27.61488,-39.319199999999995,27.61488,13506,13506
global,1958,-36.89757999999999,43.26941,-36.89757999999999,43.26941,14671,14671
global,1959,-38.099999999999994,37.94760000000001,-38.099999999999994,37.94760000000001,15393,15393
global,1960,-89.15095,37.984179999999995,-89.15095,37.984179999999995,15230,15230
